ID_TAREFA,PRIORIDADE,DIFICULDADE,HORAS_PROD_MED,NIVEL_FOCO_MED,ESTRESSE_MED,HORAS_DORMIDAS_MED,SATISFACAO_MED,CARGA_TRABALHO_MED,TEMPO_CONCLUSAO_DIAS,ATRASO
353,baixa,1.7,6.7,7.1,4.0,8.0,6.2,7.7,0.5,0
354,média,4.1,8.5,6.9,6.4,9.0,8.6,6.8,4.78,1
355,alta,9.6,7.5,7.2,6.7,8.3,6.7,6.3,5.61,1
356,média,1.7,7.5,7.2,3.7,8.1,7.8,6.1,3.0,0
357,baixa,1.2,7.7,7.2,1.0,7.3,8.2,5.7,0.55,0
358,baixa,2.8,5.0,8.8,5.5,5.9,4.7,4.9,1.52,0
359,baixa,5.1,7.7,8.4,4.0,6.6,3.9,4.0,1.3,0
360,média,3.1,7.0,8.0,6.2,6.7,6.5,7.2,4.79,0
361,alta,5.6,9.0,7.2,7.6,7.8,10.0,7.2,3.22,0
362,média,3.6,8.1,5.4,3.6,6.6,7.8,6.7,1.04,0
363,baixa,8.1,6.9,6.5,7.6,6.1,10.0,8.2,1.89,1
364,baixa,3.3,7.6,9.2,4.8,7.7,5.7,7.8,0.93,0
365,média,5.2,8.3,6.7,3.6,5.1,7.3,5.9,0.5,0
366,baixa,9.6,8.4,5.4,2.8,7.3,7.8,8.4,3.13,1
367,baixa,8.9,8.0,8.0,7.7,9.0,6.8,9.0,1.91,0
368,baixa,3.7,5.6,6.3,3.7,6.0,6.8,8.6,0.94,0
369,baixa,4.6,9.0,8.8,8.4,7.6,7.2,6.1,1.08,0
370,alta,6.8,7.5,8.2,3.2,6.7,6.8,4.0,4.05,0
371,alta,1.2,6.7,8.6,6.8,5.3,8.9,6.8,1.77,0
372,baixa,9.9,6.6,9.0,3.0,6.5,4.6,6.3,1.95,1
373,baixa,9.0,5.1,7.4,6.1,7.0,7.2,8.4,2.36,0
374,média,6.1,7.7,7.6,4.3,7.8,6.4,6.5,1.13,0
375,alta,3.8,7.7,8.8,9.0,7.4,5.7,6.0,5.18,1
376,média,5.4,4.1,8.7,8.7,6.6,5.5,8.3,3.95,1
377,baixa,5.5,7.3,8.0,3.4,8.6,7.1,6.9,0.62,0
378,média,4.6,5.6,6.6,8.3,6.0,6.9,6.1,2.8,0
379,alta,3.8,7.5,9.2,4.9,7.0,8.8,6.0,4.26,0
380,baixa,4.0,9.0,8.9,8.0,6.7,8.1,4.2,1.67,0
381,baixa,4.5,5.4,7.6,4.5,8.5,7.4,7.8,0.5,0
382,média,1.3,7.9,8.5,4.2,8.3,9.3,7.3,1.24,0
383,baixa,1.0,6.5,8.8,7.1,6.1,8.0,5.2,0.56,0
384,baixa,3.4,5.2,7.6,4.7,7.7,6.5,9.0,0.64,0
385,baixa,1.7,9.0,8.6,7.0,7.5,7.8,6.3,1.17,0
386,média,7.6,5.7,7.1,1.7,5.6,8.2,7.9,2.06,1
387,alta,7.9,6.4,6.3,3.9,6.9,5.7,5.9,10.79,1
388,baixa,3.1,6.7,8.0,4.8,7.4,4.7,4.6,1.39,0
389,média,4.5,7.8,8.0,5.2,8.5,6.1,6.9,4.62,0
390,média,7.2,9.0,7.6,5.6,7.4,8.2,7.3,6.09,1
391,baixa,5.4,8.4,8.4,4.7,6.0,4.2,4.2,1.67,0
392,média,9.1,6.8,8.0,4.5,6.8,6.3,5.9,4.08,1
393,baixa,6.5,6.3,7.6,6.4,6.5,6.1,8.4,1.06,0
394,média,6.3,5.7,10.0,6.5,7.6,8.2,5.9,3.78,1
395,baixa,3.2,7.7,7.0,1.4,7.6,8.3,8.5,1.03,0
396,baixa,9.7,4.8,7.5,2.2,6.8,8.4,6.7,1.6,1
397,baixa,1.4,6.6,7.5,4.8,7.2,6.5,5.6,0.96,0
398,alta,7.1,6.7,7.6,5.4,5.9,7.1,8.4,4.77,0
399,baixa,2.2,8.7,6.7,5.9,7.7,4.0,6.0,1.15,0
400,baixa,1.2,9.0,6.7,6.1,6.8,8.7,6.1,0.5,0
401,baixa,1.3,6.6,7.6,3.9,7.5,6.2,7.5,0.5,0
402,baixa,9.2,8.1,7.8,7.5,6.1,8.4,7.1,2.27,0
403,baixa,7.6,4.7,6.7,5.2,6.0,7.7,7.4,1.3,1
404,baixa,7.7,6.7,7.4,4.1,6.5,3.6,5.8,3.44,0
405,baixa,2.8,7.6,4.5,4.6,7.1,6.9,8.6,1.48,0
406,média,4.8,6.2,7.4,4.7,9.0,6.7,4.0,3.62,0
407,média,8.3,8.9,8.4,6.8,7.2,7.3,7.4,3.39,1
408,baixa,3.6,6.1,9.2,7.6,7.5,6.5,5.7,0.5,0
409,média,2.2,6.8,6.8,4.6,8.2,10.0,6.3,2.39,0
410,baixa,8.3,7.3,6.1,4.2,6.8,5.2,6.5,3.96,0
411,baixa,1.1,8.7,7.9,2.0,7.4,6.8,6.6,0.5,0
412,média,6.8,5.8,9.2,2.1,7.4,3.8,7.6,2.78,0
413,baixa,3.4,7.5,8.2,2.6,8.0,6.2,6.4,0.67,0
414,alta,9.3,6.2,8.9,6.3,7.0,4.8,6.4,6.25,1
415,baixa,5.0,4.8,5.9,3.0,7.4,6.4,7.6,1.47,0
416,alta,9.7,8.7,6.3,5.2,8.7,6.9,6.2,7.11,1
417,baixa,4.5,5.8,8.1,3.9,8.1,7.7,7.8,1.77,0
418,baixa,7.8,7.6,8.0,5.4,7.5,7.0,4.5,1.48,1
419,média,4.1,6.9,7.7,10.0,9.0,6.2,9.0,4.69,1
420,baixa,1.4,4.6,7.1,7.5,6.7,8.8,6.2,0.5,0
421,média,6.9,7.9,8.4,7.3,6.7,6.6,5.7,2.57,0
422,média,8.1,5.2,6.2,9.0,7.3,6.9,6.3,2.14,1
423,alta,7.2,5.5,6.6,4.3,6.7,8.8,5.2,6.41,0
424,média,9.8,9.0,7.7,5.7,7.3,9.0,4.0,4.92,1
425,alta,8.9,8.1,8.5,6.6,8.2,7.7,8.2,5.79,1
426,baixa,2.3,8.5,6.9,2.4,6.2,8.4,6.3,0.95,0
427,média,7.0,6.8,7.4,3.0,8.0,7.3,5.9,5.37,1
428,baixa,5.9,4.4,7.7,1.3,6.6,6.6,6.4,1.79,1
429,média,8.0,6.2,7.4,6.6,7.3,7.1,6.5,3.93,0
430,baixa,8.1,8.1,7.6,8.5,6.9,6.7,5.1,1.95,0
431,baixa,5.6,7.9,5.8,4.7,6.1,7.7,7.0,0.79,0
432,baixa,9.8,8.2,7.4,7.3,7.6,7.9,6.6,2.44,1
433,alta,2.3,8.8,6.8,6.2,5.0,7.1,5.9,6.06,1
434,média,8.0,6.8,5.8,1.2,8.5,6.8,7.7,4.13,0
435,baixa,4.7,8.1,7.7,8.5,7.7,8.8,9.0,0.5,0
436,média,7.7,6.5,7.4,4.1,7.9,4.8,7.6,3.2,0
437,baixa,4.5,6.8,7.0,3.0,6.5,5.4,6.4,2.0,0
438,média,4.6,8.6,7.9,1.0,8.2,6.4,8.4,0.72,0
439,baixa,5.8,9.0,8.1,3.2,7.5,6.5,5.9,1.23,0
440,baixa,2.5,5.7,8.0,10.0,8.1,6.6,8.4,2.02,1
441,baixa,7.5,8.3,6.2,4.8,9.0,7.6,7.7,1.95,0
442,alta,7.9,5.6,5.6,7.0,5.5,5.5,4.0,8.43,1
443,alta,4.3,7.1,8.9,5.1,6.7,5.9,8.6,1.95,0
444,baixa,6.2,7.6,8.2,8.2,6.1,8.9,5.3,1.83,0
445,alta,2.6,6.4,7.2,6.1,8.0,3.0,6.2,4.37,0
446,baixa,4.3,7.0,6.1,3.9,6.7,7.7,4.6,0.79,0
447,baixa,8.1,5.5,5.9,7.4,6.7,7.0,6.3,1.42,0
448,baixa,2.7,5.7,8.7,1.2,5.4,8.4,5.8,1.46,1
449,alta,7.3,6.1,7.3,7.6,8.1,6.4,6.3,4.44,1
450,média,6.5,4.8,8.4,6.6,8.0,7.7,4.9,2.59,0
451,baixa,7.0,5.3,6.4,7.5,6.4,4.8,4.2,2.15,0
452,alta,9.9,5.5,7.0,5.3,8.7,8.5,5.5,6.72,0
453,média,2.5,4.6,9.1,4.1,6.8,8.0,5.7,0.5,0
454,alta,1.8,5.6,9.1,5.7,8.6,10.0,4.3,4.42,0
455,baixa,3.4,8.2,8.0,6.0,8.3,7.2,7.4,1.77,0
456,média,9.1,7.5,8.1,2.3,8.0,6.0,6.6,3.77,0
457,média,3.9,6.3,7.8,10.0,7.4,6.5,4.9,3.87,1
458,baixa,3.7,7.8,7.3,7.4,7.5,6.7,7.8,0.5,0
459,baixa,8.5,8.3,8.6,4.5,5.4,6.9,7.5,3.12,1
460,baixa,4.8,7.7,7.4,4.6,9.0,8.4,4.0,0.62,1
461,baixa,9.6,6.2,5.8,2.3,8.9,6.6,5.0,3.01,0
462,média,4.6,5.2,6.7,3.5,7.6,7.7,7.4,3.82,0
463,média,2.8,9.0,7.4,3.2,7.3,6.8,5.4,0.5,0
464,média,3.3,9.0,9.1,7.7,7.3,7.3,6.2,3.14,0
465,alta,8.7,7.6,6.7,10.0,8.0,4.3,8.0,4.33,0
466,baixa,2.3,5.4,7.4,5.9,8.0,9.3,6.3,0.6,0
467,baixa,7.0,6.9,7.0,5.4,7.9,7.0,4.2,2.97,0
468,média,3.3,5.2,6.8,8.2,8.1,8.5,7.6,5.11,1
469,alta,3.9,9.0,5.7,2.8,7.7,7.7,5.7,1.61,0
470,alta,4.2,8.5,7.8,5.7,7.1,6.7,8.3,6.25,0
471,média,2.6,8.3,7.4,3.1,7.3,7.4,8.2,1.04,0
472,média,8.7,5.1,6.5,5.4,9.0,4.6,5.8,4.97,0
473,alta,6.0,6.1,7.5,3.7,7.3,4.8,4.0,6.51,1
474,baixa,4.9,4.0,8.3,7.6,7.1,6.1,7.2,2.01,0
475,média,3.0,7.4,8.0,2.8,6.9,5.9,9.0,0.5,0
476,baixa,5.2,7.1,7.6,1.3,6.5,5.9,8.3,1.0,0
477,média,7.5,5.0,5.5,4.6,8.2,6.2,4.5,4.21,0
478,alta,3.5,5.5,9.0,5.9,6.7,6.6,5.5,0.5,0
479,alta,3.4,8.7,6.7,1.7,7.2,9.0,4.6,1.31,1
480,baixa,1.2,4.5,7.4,7.9,8.8,6.7,6.0,2.0,1
481,alta,4.5,6.6,7.8,7.6,6.5,5.8,6.9,6.86,1
482,baixa,7.5,6.6,8.7,5.9,7.7,6.4,7.7,3.8,0
483,alta,5.9,6.3,7.1,1.3,7.6,6.1,8.3,0.5,0
484,média,3.3,7.1,7.8,3.2,5.9,8.0,5.4,0.5,0
485,baixa,1.8,8.8,6.5,7.7,9.0,6.7,5.3,2.51,1
486,baixa,4.4,6.7,7.2,6.0,8.5,5.4,6.7,0.58,0
487,média,1.3,8.9,7.9,2.6,9.0,6.6,6.4,2.7,0
488,média,4.4,7.2,7.0,3.6,6.6,8.3,4.8,0.62,0
489,baixa,3.4,7.9,8.1,4.8,8.4,6.4,7.6,1.29,0
490,baixa,9.1,5.7,8.5,6.9,6.6,10.0,4.9,0.91,0
491,baixa,9.8,6.1,6.0,7.9,9.0,8.2,7.2,1.11,1
492,baixa,1.3,9.0,5.0,4.1,6.9,6.2,4.4,0.93,0
493,baixa,2.8,7.8,7.2,1.0,7.7,6.0,7.4,0.77,0
494,média,7.4,6.4,6.9,4.0,7.3,5.6,6.3,5.74,0
495,alta,4.5,4.9,7.7,6.9,7.0,7.3,6.1,2.79,1
496,baixa,2.5,9.0,6.7,8.6,6.3,8.0,7.9,1.92,1
497,baixa,8.7,9.0,7.9,7.7,8.5,9.1,7.4,1.93,0
498,alta,2.0,7.4,8.2,1.9,7.8,7.9,5.5,0.79,0
499,baixa,9.2,6.1,8.3,6.3,7.9,7.0,5.1,1.75,0
500,baixa,9.7,7.3,7.8,1.4,8.1,9.1,6.9,2.18,1
501,alta,7.4,5.8,5.8,5.0,7.9,6.7,6.7,4.25,0
502,média,3.5,5.6,6.6,5.7,7.4,6.4,6.6,5.05,0
503,baixa,1.6,6.3,7.4,7.1,6.8,7.0,6.7,1.17,0
504,média,5.4,5.8,7.0,3.2,7.3,7.3,7.0,0.5,1
505,alta,3.6,7.4,7.2,5.7,6.6,6.3,6.1,0.5,0
506,baixa,2.4,6.2,7.5,4.0,6.9,10.0,6.2,0.5,0
507,média,5.6,7.4,8.3,4.1,9.0,5.8,5.7,4.5,0
508,alta,1.8,7.0,8.2,5.7,8.2,6.2,9.0,0.5,0
509,média,9.3,9.0,6.7,7.2,8.2,6.8,8.7,5.05,0
510,baixa,2.3,9.0,6.8,7.3,6.9,6.4,7.2,0.5,1
511,alta,4.0,7.1,7.3,5.3,9.0,9.1,8.2,0.63,0
512,média,1.1,5.7,7.5,5.0,6.1,8.2,8.9,4.87,1
513,média,1.7,6.5,6.8,5.1,8.5,3.9,5.2,0.5,0
514,média,6.2,6.5,6.5,4.4,7.5,5.5,6.1,5.46,1
515,baixa,6.9,7.3,8.3,8.0,8.5,4.3,6.2,1.44,1
516,baixa,9.8,8.0,7.0,3.6,7.7,5.9,8.6,2.36,0
517,baixa,1.2,5.2,7.2,5.1,7.1,5.8,7.3,1.65,0
518,baixa,2.1,8.0,7.0,5.1,6.0,7.3,8.0,1.22,0
519,baixa,9.4,8.3,8.0,6.0,7.2,6.6,8.2,0.88,0
520,média,1.9,5.6,6.8,2.3,7.7,9.4,9.0,2.21,0
521,média,8.8,7.0,7.3,3.2,7.9,6.7,7.1,4.54,0
522,média,7.8,5.6,7.2,5.9,8.4,7.8,4.7,4.26,0
523,média,4.1,8.3,7.9,1.0,6.4,4.5,6.7,4.32,0
524,baixa,8.5,7.5,8.6,7.1,7.9,5.2,5.8,2.44,1
525,alta,3.2,5.6,8.5,2.8,7.0,6.2,4.5,2.04,0
526,baixa,5.6,4.4,8.9,4.4,5.9,9.4,7.2,1.12,0
527,baixa,5.1,8.6,8.7,5.7,7.5,6.3,4.0,1.49,0
528,alta,1.2,7.5,6.6,4.5,7.5,8.0,5.9,2.36,0
529,média,2.0,3.9,6.9,4.6,6.9,8.6,5.9,2.02,0
530,média,3.4,5.9,5.7,6.0,8.3,5.8,7.4,3.45,1
531,alta,5.8,8.7,8.4,6.5,6.4,8.5,5.9,2.86,1
532,média,3.7,6.0,7.9,1.0,8.4,7.2,5.4,2.36,0
533,média,8.5,8.0,7.5,6.0,8.0,7.7,4.0,3.51,1
534,baixa,9.2,8.0,9.4,3.4,5.9,7.6,7.4,2.86,0
535,baixa,9.2,7.1,6.9,4.7,6.1,8.1,8.1,3.28,0
536,média,6.2,7.0,6.9,6.2,7.9,9.4,5.4,2.37,0
537,média,8.2,5.7,7.6,8.8,6.7,6.9,5.9,5.19,1
538,baixa,4.2,4.7,6.7,9.3,6.0,8.6,4.0,0.65,0
539,alta,2.4,7.3,6.9,8.1,6.8,8.1,9.0,4.82,0
540,média,8.5,7.2,8.6,6.0,7.8,9.8,5.0,2.68,0
541,média,2.4,7.3,6.2,3.1,9.0,9.1,4.4,0.5,0
542,baixa,3.3,7.2,6.7,4.9,7.3,8.1,6.4,0.95,0
543,baixa,9.0,3.7,8.0,4.1,5.4,8.4,4.8,2.27,1
544,baixa,6.7,9.0,6.6,5.1,8.1,10.0,6.9,2.6,0
545,alta,6.0,3.7,7.6,6.5,6.1,6.8,5.9,6.16,0
546,baixa,9.3,7.6,7.8,3.0,7.5,7.3,9.0,2.31,0
547,baixa,7.2,7.6,6.1,4.9,7.9,6.0,5.7,1.25,0
548,baixa,1.5,8.2,6.4,4.1,7.4,7.0,4.0,0.82,0
549,baixa,7.8,6.1,6.8,3.8,6.9,7.2,6.4,2.12,0
550,média,7.6,7.2,6.5,2.2,7.0,8.6,8.2,4.4,1
551,média,6.3,7.8,7.3,5.2,5.5,7.6,7.7,5.11,0
552,média,2.9,6.8,7.2,4.3,8.1,6.4,7.1,2.88,0
553,alta,5.8,8.5,8.6,6.5,7.0,9.0,6.3,5.74,0
554,média,8.4,7.1,6.9,5.5,7.9,6.1,8.0,3.93,0
555,média,4.9,9.0,7.4,6.4,6.3,7.6,7.0,0.5,1
556,baixa,10.0,5.3,6.5,4.8,6.5,7.0,8.7,3.08,1
557,média,4.2,9.0,7.4,8.6,7.8,8.0,8.4,0.5,0
558,média,8.3,6.4,7.8,6.1,8.3,4.6,5.4,2.1,0
559,média,4.8,8.3,7.9,8.1,7.1,6.5,7.0,5.43,1
560,média,5.0,8.0,6.4,4.7,7.7,8.5,6.6,4.53,0
561,média,3.7,4.9,7.9,4.3,8.1,7.5,7.2,4.26,0
562,média,4.7,6.8,7.0,5.2,7.5,9.1,6.5,5.43,0
563,alta,3.4,3.2,8.9,2.0,7.3,7.9,8.2,3.45,0
564,alta,6.0,6.7,7.7,4.7,7.9,6.9,6.9,3.24,0
565,baixa,4.2,8.5,7.4,6.4,5.7,7.7,5.6,0.76,0
566,baixa,4.1,5.8,7.8,1.0,8.6,4.6,7.0,0.98,0
567,baixa,2.1,5.5,7.4,1.0,8.5,7.0,5.8,0.98,0
568,baixa,5.2,7.0,7.7,4.3,6.7,7.8,7.0,1.15,0
569,baixa,2.9,7.6,7.4,4.0,5.0,7.2,8.6,1.78,0
570,baixa,3.8,9.0,6.1,2.2,7.1,5.8,7.6,0.5,0
571,média,5.1,7.9,6.2,8.0,7.7,6.4,7.1,3.45,0
572,média,6.2,5.8,8.8,4.0,7.7,9.8,6.1,5.36,0
573,média,2.8,8.1,7.3,5.7,6.2,4.0,7.2,4.07,0
574,baixa,8.4,8.7,7.3,3.2,6.1,8.5,7.5,2.47,1
575,média,8.6,7.0,7.1,1.3,8.3,6.2,5.2,2.08,0
576,média,8.1,5.2,7.8,5.9,8.3,7.6,8.6,4.94,0
577,alta,2.3,8.2,9.0,6.6,8.7,8.1,6.0,0.5,0
578,média,5.0,4.4,5.9,7.0,5.0,4.7,5.9,0.57,1
579,baixa,1.1,8.5,7.2,6.8,5.9,5.8,4.6,1.28,0
580,média,8.8,8.5,8.0,6.4,7.8,5.4,8.8,3.36,1
581,média,2.1,6.9,7.3,4.3,5.9,8.8,6.9,1.35,0
582,baixa,3.7,6.5,8.1,6.5,7.6,7.6,8.6,0.91,0
583,média,2.6,8.0,7.8,4.3,7.4,7.8,7.1,1.02,0
584,baixa,9.7,6.8,8.2,3.4,7.6,7.7,7.4,0.71,1
585,baixa,3.8,9.0,10.0,4.4,7.3,5.6,5.0,0.5,0
586,baixa,2.8,8.2,6.8,1.6,7.3,10.0,6.7,1.08,0
587,baixa,1.3,8.7,8.7,6.2,8.8,8.2,7.7,0.5,0
588,baixa,5.4,6.1,6.9,4.2,7.2,7.0,6.5,1.61,0
589,baixa,2.7,6.3,8.6,10.0,7.7,8.4,6.2,0.63,0
590,baixa,7.4,6.0,7.4,5.9,6.7,4.8,5.4,0.5,0
591,baixa,2.6,7.3,8.2,3.9,5.6,6.9,6.8,0.5,0
592,baixa,5.1,8.5,7.7,2.8,7.2,8.8,6.4,1.12,0
593,média,8.0,7.0,6.8,2.8,6.0,7.5,4.0,5.34,1
594,média,1.3,6.6,9.0,2.8,7.4,6.2,8.6,0.5,0
595,baixa,8.4,9.0,6.5,3.7,5.8,6.1,8.7,1.36,0
596,média,7.8,5.1,8.8,7.1,7.9,6.2,4.6,3.59,0
597,média,5.0,6.0,7.9,6.2,5.3,8.5,5.5,2.75,1
598,média,4.8,6.1,6.7,5.6,7.1,6.3,8.6,2.98,1
599,média,8.5,4.6,7.3,5.6,7.4,9.0,6.0,5.18,1
600,baixa,9.7,4.4,7.6,3.1,7.4,8.1,7.3,0.98,0
601,média,9.8,9.0,8.4,6.2,5.2,7.1,7.2,5.08,1
602,baixa,8.9,8.3,7.3,7.9,7.4,9.2,9.0,2.41,1
603,baixa,8.7,6.5,7.6,7.0,7.4,7.3,6.7,2.74,0
604,baixa,5.3,8.1,9.1,4.2,6.0,6.2,4.2,2.08,0
605,baixa,4.6,5.0,6.7,6.6,8.5,7.8,6.5,1.7,0
606,alta,4.2,6.3,8.6,5.1,6.8,4.0,6.8,3.85,0
607,alta,2.0,9.0,5.8,4.6,7.8,7.7,5.3,4.19,0
608,média,7.6,6.6,5.9,4.9,5.7,6.7,4.0,1.75,1
609,baixa,4.2,8.7,7.8,3.5,7.9,3.8,5.3,0.72,0
610,média,7.9,7.0,6.3,7.0,8.0,6.3,5.9,3.04,1
611,alta,6.5,5.6,7.5,3.2,6.7,6.6,6.5,5.75,0
612,baixa,9.9,7.5,8.8,2.3,7.1,6.9,7.8,2.91,0
613,média,7.8,5.9,7.4,5.4,9.0,8.2,5.8,2.91,0
614,alta,8.5,6.5,6.1,4.1,6.3,7.6,7.3,10.19,1
615,média,6.6,7.1,8.5,5.2,8.9,9.6,6.7,0.5,0
616,média,1.7,8.0,9.1,2.7,6.8,7.4,5.1,1.44,0
617,alta,8.3,9.0,9.5,4.4,6.4,7.9,7.7,2.56,1
618,média,9.6,3.8,8.5,1.2,8.2,6.8,5.4,3.48,1
619,alta,9.9,5.1,7.2,6.1,7.4,7.3,5.4,4.7,1
620,alta,6.4,8.0,8.2,3.8,5.0,6.5,5.8,7.51,1
621,média,4.9,6.3,6.3,2.1,8.1,5.7,5.6,0.5,0
622,média,2.5,4.2,8.2,7.3,7.2,7.7,8.1,3.74,0
623,média,4.5,7.1,9.9,6.3,7.1,7.7,9.0,0.5,1
624,média,3.3,5.5,8.2,1.0,7.9,8.4,7.6,3.07,0
625,média,6.4,7.5,7.4,3.9,8.0,4.3,7.9,0.96,0
626,média,4.5,3.6,7.3,3.5,8.7,6.5,4.0,2.7,0
627,baixa,7.1,9.0,6.1,5.9,8.4,7.4,6.6,2.5,0
628,alta,1.7,5.8,6.7,3.9,6.0,5.3,9.0,1.57,0
629,baixa,9.8,5.6,7.8,8.6,6.1,6.7,7.0,2.43,0
630,baixa,4.9,5.3,6.3,5.4,6.0,5.8,4.3,0.84,1
631,baixa,6.7,9.0,7.8,7.8,6.5,6.7,7.8,1.69,0
632,baixa,8.4,8.4,6.2,7.1,6.6,8.7,7.2,2.54,0
633,média,1.4,8.2,8.2,4.6,7.7,7.2,6.1,1.79,0
634,alta,1.8,9.0,7.5,3.3,7.1,7.2,5.1,0.5,0
635,média,6.7,6.3,8.1,2.3,7.6,4.9,5.4,3.08,0
636,alta,7.2,5.5,7.5,6.7,8.8,5.6,6.4,5.38,1
637,baixa,2.7,7.4,7.2,5.1,8.3,7.5,4.6,1.16,0
638,alta,3.4,6.6,7.5,6.0,5.5,8.5,5.8,2.0,0
639,baixa,6.8,7.1,5.9,9.4,7.0,6.3,8.4,0.98,0
640,média,6.1,7.9,8.0,8.8,7.2,7.0,8.2,2.81,0
641,média,2.4,4.7,8.0,3.5,8.5,8.3,4.0,0.86,0
642,média,6.7,9.0,7.8,5.5,5.0,6.9,7.8,1.65,1
643,média,5.1,8.3,6.8,3.0,8.0,8.1,4.4,2.61,0
644,baixa,7.1,7.4,7.8,3.1,6.9,3.6,8.8,1.39,1
645,média,7.2,5.6,6.5,6.5,8.3,6.0,4.0,0.5,0
646,média,8.9,4.4,7.4,7.1,7.1,7.0,6.8,3.73,0
647,baixa,4.6,6.6,7.5,2.5,8.2,6.4,4.0,0.83,1
648,média,5.1,6.5,6.9,4.6,8.3,4.4,5.5,4.83,0
649,baixa,6.6,7.7,7.0,5.9,6.5,7.2,5.7,1.92,0
650,média,4.5,9.0,6.3,6.2,7.5,6.0,7.6,2.08,0
651,média,2.3,5.3,7.2,3.3,6.1,8.1,8.2,4.07,0
652,alta,1.4,8.4,6.7,6.1,8.5,8.3,6.0,1.41,0
653,alta,2.3,6.7,8.2,7.4,8.9,4.1,4.9,4.93,0
654,média,7.9,3.0,8.9,1.4,5.9,7.7,7.2,2.35,1
655,baixa,6.7,7.1,8.1,3.4,7.2,7.3,9.0,1.39,0
656,alta,1.8,7.4,7.7,5.1,6.5,5.7,5.2,3.01,0
657,baixa,6.7,6.2,6.7,6.6,6.2,8.7,4.1,2.62,1
658,média,5.1,5.5,8.6,4.8,7.3,7.8,7.4,1.32,1
659,alta,1.1,6.8,7.8,4.8,7.6,7.7,5.3,4.75,0
660,média,8.9,7.1,6.7,2.6,6.6,4.5,8.1,4.56,0
661,baixa,9.2,8.2,7.1,6.7,9.0,6.1,5.4,3.24,0
662,média,5.9,7.3,6.6,3.1,7.7,6.1,8.4,4.23,0
663,média,9.5,8.1,7.9,3.1,6.1,4.2,7.1,4.51,0
664,alta,2.2,6.4,9.2,5.9,8.3,5.8,7.9,0.5,0
665,baixa,2.3,5.5,7.0,1.1,6.5,8.5,7.0,0.62,0
666,baixa,5.0,6.2,9.1,5.8,6.7,6.8,6.3,0.96,0
667,média,2.7,5.0,7.0,7.1,6.3,9.2,6.4,3.11,1
668,baixa,9.7,5.6,9.9,10.0,6.6,8.6,4.6,4.01,1
669,baixa,3.3,4.3,7.8,5.8,6.8,5.7,7.2,1.2,0
670,alta,2.4,8.0,9.3,1.0,7.0,6.8,6.5,3.24,0
671,alta,6.1,7.6,8.7,5.2,6.2,6.4,5.8,6.05,1
672,baixa,4.8,7.6,6.2,6.7,6.4,4.7,7.3,2.28,0
673,baixa,6.8,5.1,8.1,4.0,6.3,7.8,6.5,2.57,0
674,alta,2.3,9.0,4.9,5.3,7.1,6.2,5.6,2.53,0
675,média,7.7,8.5,7.8,2.0,6.0,5.0,7.5,3.53,1
676,média,4.7,6.5,7.7,3.3,6.3,8.4,6.9,5.27,0
677,alta,5.9,8.0,7.9,5.5,7.5,6.0,7.6,5.48,0
678,média,5.2,8.5,6.2,5.3,6.3,7.7,9.0,2.57,1
679,média,9.4,8.3,6.8,3.5,8.4,8.5,6.4,2.3,0
680,alta,2.1,8.2,6.7,5.9,5.5,5.9,5.1,0.5,0
681,média,8.5,5.6,7.7,5.9,7.8,5.1,4.8,3.32,0
682,média,3.5,8.2,8.3,6.6,5.5,8.3,9.0,2.4,0
683,alta,6.3,4.4,8.0,5.8,8.3,6.4,6.1,5.77,0
684,baixa,5.9,7.7,7.0,3.2,6.2,9.0,7.3,1.25,0
685,média,4.6,7.2,8.2,3.3,7.8,8.7,9.0,2.87,0
686,média,2.2,6.8,6.4,6.9,6.1,7.8,6.0,2.02,1
687,baixa,8.2,7.4,5.8,1.5,8.9,7.8,6.0,3.04,0
688,alta,3.6,6.1,8.7,4.1,5.4,7.2,9.0,6.75,0
689,alta,2.0,7.4,7.3,5.9,7.5,6.3,4.6,3.99,0
690,baixa,1.2,7.0,5.5,8.2,6.4,8.1,6.9,1.81,1
691,média,3.3,5.9,7.2,5.5,6.8,6.7,5.6,2.76,0
692,alta,4.1,9.0,7.2,6.9,5.0,6.8,8.0,4.03,0
693,alta,6.2,6.3,7.8,5.6,8.0,5.9,7.2,5.47,1
694,média,5.3,4.1,7.3,2.2,7.2,3.6,4.4,0.61,0
695,média,6.9,8.4,7.3,8.2,7.1,7.5,5.4,4.45,1
696,baixa,8.7,7.3,8.4,4.1,6.6,7.0,6.2,1.98,1
697,média,7.5,5.3,7.3,7.1,6.8,7.9,9.0,3.27,1
698,baixa,8.3,9.0,9.5,5.1,6.2,6.9,7.6,0.54,0
699,baixa,8.8,9.0,6.0,3.2,7.1,6.8,6.4,2.45,0
700,média,4.8,7.6,6.6,5.2,8.4,5.3,5.6,2.69,0
701,baixa,8.3,8.2,9.5,6.1,6.3,6.8,5.1,1.3,1
702,média,7.5,8.2,7.8,4.8,7.5,8.3,7.0,2.38,0
703,baixa,2.7,9.0,6.7,8.3,9.0,6.2,5.5,1.44,1
704,média,8.3,6.0,8.2,8.0,8.2,8.3,7.3,3.53,0
705,baixa,8.0,7.1,8.4,4.5,7.8,6.8,6.2,1.89,0
706,média,1.4,9.0,7.5,3.3,7.0,8.5,6.6,1.6,0
707,média,3.9,4.7,8.9,2.3,7.4,5.7,4.8,0.5,0
